                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6374,                 2.7924,                 2.5121,                0.34749,                0.03663,                0.01268,                0.00253,                 3.0723,                 4.4517,                 3.3069,                  9e-05,                  9e-05,                  9e-05
                      2,                 2.1742,                 2.0362,                 2.1495,                 0.7041,                0.03846,                0.03435,                0.00628,                  3.333,                 3.9424,                 3.4858,             0.00018812,             0.00018812,             0.00018812
                      3,                 1.6583,                 1.5886,                 1.8626,                0.58834,                0.16801,                0.10228,                0.03094,                 2.9778,                 3.5397,                 3.2064,             0.00028426,             0.00028426,             0.00028426
                      4,                 1.3316,                 1.2218,                 1.6333,                0.67115,                0.28491,                0.30037,                 0.1482,                 2.3792,                 2.9086,                  2.657,             0.00037842,             0.00037842,             0.00037842
                      5,                 1.1651,                 1.0442,                  1.513,                0.75946,                0.33213,                0.42315,                  0.224,                 2.1604,                  2.689,                 2.5132,              0.0004706,              0.0004706,              0.0004706
                      6,                 1.0756,                0.96756,                 1.4626,                 0.7012,                0.39095,                0.54541,                0.27712,                 2.0825,                  2.478,                 2.4773,              0.0005608,              0.0005608,              0.0005608
                      7,                  1.023,                0.92226,                 1.4081,                0.46716,                 0.5689,                0.63284,                0.32216,                 1.9647,                 2.0289,                 2.2882,             0.00064901,             0.00064901,             0.00064901
                      8,                 1.0182,                0.86963,                 1.3991,                0.76211,                0.48417,                0.51783,                0.32531,                 1.8531,                   1.93,                  2.193,             0.00073525,             0.00073525,             0.00073525
                      9,                0.93061,                 0.8138,                 1.3565,                0.88548,                0.46399,                0.52222,                0.31605,                  1.706,                 1.6803,                  2.176,             0.00081951,             0.00081951,             0.00081951
                     10,                0.93871,                0.81216,                 1.3385,                 0.8213,                0.50592,                0.76637,                0.43966,                 1.4528,                 1.5394,                 1.9575,             0.00090179,             0.00090179,             0.00090179
                     11,                0.95706,                0.82319,                 1.3219,                0.87187,                0.46596,                0.57321,                0.37154,                 1.4484,                 1.4982,                 1.8875,               0.000901,               0.000901,               0.000901
                     12,                0.87978,                0.76933,                   1.29,                0.80116,                0.60222,                0.63851,                0.40365,                 1.2903,                  1.438,                 1.7878,               0.000901,               0.000901,               0.000901
                     13,                0.85378,                0.71572,                 1.2706,                0.81946,                0.59459,                0.77364,                0.52333,                 1.2176,                 1.4911,                 1.7948,              0.0008911,              0.0008911,              0.0008911
                     14,                0.83504,                0.70885,                 1.2573,                0.75158,                  0.766,                0.76469,                0.47267,                   1.29,                 1.4341,                 1.8565,              0.0008812,              0.0008812,              0.0008812
                     15,                0.84363,                0.66904,                 1.2527,                0.69338,                 0.8123,                0.78351,                0.49523,                 1.3273,                  1.359,                  1.848,              0.0008713,              0.0008713,              0.0008713
                     16,                0.79032,                 0.6548,                 1.2009,                0.80745,                0.73383,                0.78069,                0.51768,                 1.2125,                 1.3131,                 1.7416,              0.0008614,              0.0008614,              0.0008614
                     17,                 0.7971,                0.66781,                 1.2219,                0.78455,                 0.8042,                0.82782,                0.55544,                 1.2428,                 1.0937,                 1.7569,              0.0008515,              0.0008515,              0.0008515
                     18,                0.80695,                0.70597,                 1.2434,                0.82438,                0.82169,                0.85235,                0.57541,                 1.1517,                 1.1037,                 1.7359,              0.0008416,              0.0008416,              0.0008416
                     19,                  0.781,                0.67541,                 1.2141,                0.83369,                0.77635,                0.84615,                0.57653,                 1.1756,                 1.1001,                 1.7295,              0.0008317,              0.0008317,              0.0008317
                     20,                0.79217,                0.64836,                 1.2127,                 0.7103,                0.83611,                0.82789,                0.51569,                 1.3224,                 1.2224,                 1.8156,              0.0008218,              0.0008218,              0.0008218
                     21,                0.76028,                0.61025,                 1.2003,                0.76254,                0.86389,                0.82375,                0.55373,                 1.2143,                 1.1627,                 1.7683,              0.0008119,              0.0008119,              0.0008119
                     22,                 0.7424,                0.60054,                 1.1795,                 0.7511,                0.79556,                0.76068,                0.50673,                 1.1911,                 1.0384,                 1.7427,               0.000802,               0.000802,               0.000802
                     23,                0.75841,                0.58986,                  1.181,                0.66976,                0.79759,                0.77084,                0.51176,                 1.2247,                 1.1469,                 1.7666,              0.0007921,              0.0007921,              0.0007921
                     24,                0.72334,                0.56345,                 1.1792,                0.71504,                0.82862,                 0.8251,                0.56412,                  1.182,                 1.1916,                 1.7884,              0.0007822,              0.0007822,              0.0007822
                     25,                0.70327,                0.55283,                 1.1569,                0.90891,                 0.7526,                0.82581,                0.59637,                 1.1024,                 1.0525,                 1.7123,              0.0007723,              0.0007723,              0.0007723
                     26,                0.74702,                0.58223,                 1.1894,                0.82539,                0.74052,                0.81805,                0.53384,                  1.163,                 1.1997,                 1.7893,              0.0007624,              0.0007624,              0.0007624
                     27,                0.74455,                0.58976,                  1.161,                0.82939,                0.73294,                0.84204,                0.54907,                 1.1552,                 1.0087,                  1.758,              0.0007525,              0.0007525,              0.0007525
                     28,                 0.7014,                0.54592,                 1.1563,                0.83484,                0.69276,                0.80322,                0.52402,                 1.1761,                 1.1879,                 1.7609,              0.0007426,              0.0007426,              0.0007426
                     29,                0.70777,                0.54325,                 1.1462,                0.82685,                0.70942,                0.76559,                0.51787,                 1.1646,                 1.2085,                 1.7716,              0.0007327,              0.0007327,              0.0007327
                     30,                0.69456,                0.54054,                 1.1314,                0.80135,                0.69794,                0.80148,                0.56715,                 1.1269,                 1.1558,                 1.6898,              0.0007228,              0.0007228,              0.0007228
                     31,                0.69615,                0.53175,                 1.1507,                0.71652,                0.76737,                0.78134,                0.50563,                 1.2208,                 1.1614,                 1.8244,              0.0007129,              0.0007129,              0.0007129
                     32,                0.74372,                0.56231,                 1.1808,                0.88789,                0.66779,                0.78588,                0.49749,                 1.2475,                 1.2387,                  1.848,               0.000703,               0.000703,               0.000703
                     33,                0.72493,                0.55398,                 1.1691,                0.86838,                0.73721,                0.83019,                 0.5253,                 1.1684,                 1.1575,                 1.7829,              0.0006931,              0.0006931,              0.0006931
                     34,                0.66228,                0.52161,                 1.1366,                0.79957,                0.83154,                0.83584,                0.53291,                 1.1813,                 1.0066,                 1.8227,              0.0006832,              0.0006832,              0.0006832
                     35,                0.66573,                0.49875,                 1.1311,                0.92594,                0.77857,                0.82314,                 0.5588,                 1.1116,                 1.0013,                 1.7274,              0.0006733,              0.0006733,              0.0006733
                     36,                0.66866,                0.53258,                 1.1509,                0.90249,                0.78016,                 0.8378,                0.54311,                 1.1119,                0.99281,                 1.7234,              0.0006634,              0.0006634,              0.0006634
                     37,                0.68458,                0.53271,                 1.1489,                0.90091,                0.75339,                0.83485,                0.55628,                 1.1634,                 1.1139,                  1.725,              0.0006535,              0.0006535,              0.0006535
                     38,                0.66157,                0.53146,                 1.1392,                0.86867,                0.76275,                0.83305,                0.56886,                 1.0924,                 1.0657,                 1.6652,              0.0006436,              0.0006436,              0.0006436
                     39,                 0.6552,                0.51772,                 1.1281,                0.90254,                0.76879,                0.82734,                0.56322,                 1.0938,                 1.1099,                 1.6115,              0.0006337,              0.0006337,              0.0006337
                     40,                0.60906,                0.48233,                 1.0922,                0.85395,                0.75932,                0.84218,                0.56909,                 1.1015,                 1.0731,                 1.6534,              0.0006238,              0.0006238,              0.0006238
                     41,                0.63709,                0.49622,                 1.1117,                0.83087,                0.75728,                0.82306,                0.56533,                 1.1053,                 1.1014,                 1.6881,              0.0006139,              0.0006139,              0.0006139
                     42,                0.63809,                0.47818,                 1.1235,                0.76751,                0.77922,                0.82297,                0.55749,                 1.1255,                 1.0988,                 1.7018,               0.000604,               0.000604,               0.000604
                     43,                0.63706,                0.49526,                 1.1076,                0.75275,                0.82699,                0.81284,                0.55452,                 1.1133,                 1.0516,                 1.7319,              0.0005941,              0.0005941,              0.0005941
                     44,                0.62598,                0.48182,                 1.1044,                0.79655,                0.74411,                0.78506,                0.53913,                 1.0635,                 1.0939,                 1.6712,              0.0005842,              0.0005842,              0.0005842
                     45,                0.64144,                0.48689,                  1.116,                0.84647,                0.76499,                0.79902,                0.55897,                 1.0868,                 1.1393,                 1.7115,              0.0005743,              0.0005743,              0.0005743
                     46,                 0.6561,                0.48307,                 1.1279,                0.82961,                0.74728,                0.79264,                0.54784,                 1.0419,                 1.1137,                 1.6489,              0.0005644,              0.0005644,              0.0005644
                     47,                0.63878,                0.47049,                 1.0984,                0.85485,                0.78267,                0.79329,                0.54133,                 1.1572,                 1.0996,                 1.7053,              0.0005545,              0.0005545,              0.0005545
                     48,                0.65541,                0.48154,                 1.1216,                0.82518,                0.82427,                0.82804,                0.52935,                 1.1729,                 1.0836,                 1.7343,              0.0005446,              0.0005446,              0.0005446
                     49,                0.64769,                0.48654,                 1.1084,                0.88715,                0.72231,                0.80687,                 0.5329,                 1.1518,                 1.0739,                  1.785,              0.0005347,              0.0005347,              0.0005347
                     50,                0.62136,                0.47591,                 1.1174,                0.88533,                0.75362,                0.82487,                0.54637,                 1.1586,                 1.0101,                 1.7822,              0.0005248,              0.0005248,              0.0005248
                     51,                0.60309,                0.48614,                 1.1088,                0.85079,                0.84421,                0.85462,                0.60158,                 1.1309,                0.98014,                  1.679,              0.0005149,              0.0005149,              0.0005149
                     52,                 0.6277,                0.47509,                 1.1019,                0.85322,                0.84095,                0.84203,                0.61593,                 1.0987,                 1.0513,                 1.6629,               0.000505,               0.000505,               0.000505
                     53,                0.60213,                0.45833,                 1.0796,                0.81844,                0.82364,                0.82881,                0.60876,                 1.0546,                 1.0263,                  1.634,              0.0004951,              0.0004951,              0.0004951
